"audit_id","manuscript_location","claim_id","claim_text_summary","evidence_ids","qualifier_present","limitation_link","registry_status","occurrence_status"
"P2C-FCA-111","Discussion 6.6, checklist item 2","CLM29-009","Ranking and operating-point metrics remain separate","E29-021","YES: without post-holdout adaptation","No deployment recalibration or prospective field test was performed","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-112","Discussion 6.6, checklist item 2","CLM29-016","Family-composition and mechanism controls remain required","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"P2C-FCA-113","Discussion 6.6, checklist item 3","CLM29-004","Explanation stability requires fidelity checks","E29-015","YES: in the deterministic outcome-stratified panel","Study-specific criteria and selected cases restrict generality","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-114","Discussion 6.6, checklist item 3","CLM29-010","Shortcut sensitivity requires negative or placebo controls","E29-022;E29-023","YES: under the evaluated subsets split cells and learners","Ablations constrain but do not establish a causal shortcut mechanism","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-115","Discussion 6.6, checklist item 3","CLM29-016","Ablation does not establish one causal mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"P2C-FCA-116","Discussion 6.6, checklist item 4","CLM29-011","Cross-dataset transfer directions remain separate","E29-024;E29-025","YES: for the evaluated bridge and target populations","Feature bridges preprocessing and dataset composition restrict scope","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-117","Discussion 6.6, checklist item 4","CLM29-012","Exact membership limits and cancellations remain visible","E29-027","YES: cancelled before target opening; no scientific result exists","The missing cells leave the intended sensitivity analysis incomplete","KEEP","RESOLVED"
"P2C-FCA-118","Discussion 6.6, checklist item 5","CLM29-013","Prior-shift precision workload and yield remain assumption-explicit","E29-028;E29-029;E29-030;E29-031","YES: under invariant-rate prior shift and frozen analyst-time/cost assumptions","These are projections rather than observed SOC outcomes","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-119","Discussion 6.6, checklist item 6","CLM29-014","Profiling retains hardware software and component boundaries","E29-032;E29-033","YES: on the measured Stage26 hardware/software","Unsupported backends and other hardware cannot be inferred","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-120","Discussion 6.6, checklist item 7","CLM29-015","Unseen-family behavior remains eligibility learner support metric and threshold specific","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-121","Discussion 6.6, checklist item 7","CLM29-016","Family controls do not identify a universal novelty mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
"P2C-FCA-122","Discussion 6.6, checklist item 8","CLM29-008","Temporal conclusions are repeated across registered realizations","E29-020;E29-037;E29-038","YES: under the frozen Stage22/Stage28 protocol","Chronology and family composition remain entangled; 5/5 is descriptive","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-123","Discussion 6.6, checklist item 8","CLM29-015","Family conclusions retain realization stability classes","E29-034;E29-035;E29-036;E29-039","YES: for eligible families under the frozen LOAO protocol","Two families were ineligible and Infiltration had 36 positives","KEEP_WITH_QUALIFICATION","RESOLVED"
"P2C-FCA-124","Discussion 6.6, checklist item 8","CLM29-016","Realization stability does not establish one causal mechanism","E29-040","YES: the controls were mixed and family-specific","Failure to isolate one mechanism does not exclude all mechanisms","KEEP","RESOLVED"
