physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
90,,code,PRECURSOR,superseded,"from pathlib import Path BACKUP_ROOT = Path(""/kaggle/working/FINAL_REVISED_LIGHTGBM"") BACKUP_ROOT.mkdir(parents=True, exist_ok=True) print(BACKUP_ROOT)",,,,0,6,9870bfa657cf148738a18addb82393b0b003540071f0b4a58dc2cdc46e1e2280,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
91,,code,PRECURSOR,superseded,"import shutil from pathlib import Path source = Path( ""/kaggle/working/revised_experiments/"" ""boosting_tuning_validation_clean_v1"" ) backup = Path( ""/kaggle/working/FINAL_REVISED_LIGHTGBM/"" ""boosting_tuning_validation_clean_v1"" ) if source.exists(): if backup.exists(): shutil.rmtree(backup) shutil.copytree(source, backup) print(""Backup created:"", backup) else: print(""Source directory not found."")",,,,0,21,99b2d63bb7d8c838f0557137fcf118b08f44adf30eed6c61e1904d74234b84f1,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
92,,code,PRECURSOR,precursor,X_train X_val X_test y_train y_val y_test,,,,0,7,0dc1245470a81b4eec539494263e70a0b5dc3bca2e5b73c0606c4194d2bbdddb,Physical 1-based order is canonical; execution_count is historical evidence only. Pre-canonical notebook history; retained to preserve methodological evolution.
93,,code,Stage01,canonical,STAGE 1 — DATA PREPARATION AND 64/16/20 SPLIT | Training: 64% | Validation: 16% | Test: 20%,/kaggle/input; was not found under /kaggle/input.; \nMatching dataset files:; \nSelected dataset:; \nDataset shape:,\nSaved Stage 1 files:; \nArchive created:,,0,555,f39792a920f3d90e1353163ea238c7c99dd01597eaee3b76ffbfc8a414ca9626,Physical 1-based order is canonical; execution_count is historical evidence only.
94,,code,Stage02,canonical,STAGE 2A — 12 CLASSICAL AND BOOSTING BASELINE MODELS | Training: | X_train / X_train_scaled | Evaluation:,,\nCheckpoint saved:; \nSaved result table:; .zip; \nArchive created:,,0,936,60899ad9726c1a4924f1bb0caa6e1d2c72d112f8a1bc0ab3ec8eb2fa67a079b3,Physical 1-based order is canonical; execution_count is historical evidence only.
95,,code,Stage02,canonical,STAGE 2B — FOUR NEURAL BASELINE MODELS | Models: | 1. MLP | 2. 1D-CNN,,\nCheckpoint saved:; .zip; \nSaved:; \nArchive created:,,0,1144,1d8196521b356d1a2910a2339cc0ad62bcfac644694666914e5e3eb81661f0f1,Physical 1-based order is canonical; execution_count is historical evidence only.
96,,code,Stage03,canonical,STAGE 3A — VALIDATION-SAFE XGBOOST TUNING | Hyperparameter selection: | 3-fold stratified CV on training data only | External evaluation:,,.zip; \nSaved:; \nArchive created:,,0,572,893769a5fef8a268b1dd680d1b82597118d4074901e95d49cf76a2c89cc521ee,Physical 1-based order is canonical; execution_count is historical evidence only.
97,,code,Stage03,canonical,STAGE 3B — VALIDATION-SAFE LIGHTGBM TUNING | Hyperparameter selection: | 3-fold stratified CV on training data only | External evaluation:,,.zip; \nSaved:; \nArchive created:,,0,594,e27790177480291276d31b123266d6d245ce115a14b5d90013ca5383f997ec7c,Physical 1-based order is canonical; execution_count is historical evidence only.
98,,code,Stage03,canonical,STAGE 3C — VALIDATION-SAFE CATBOOST TUNING | Hyperparameter selection: | 3-fold stratified CV on training data only | External evaluation:,,.zip; \nSaved:; \nArchive created:,,0,554,0660add17c238df32c4f18f5d5a2dfb67dd05d419074605f1889aa968162969c,Physical 1-based order is canonical; execution_count is historical evidence only.
99,,code,Stage03,canonical,STAGE 3D — VALIDATION-SAFE MLP TUNING | Candidate training: | Training-only fitting subset | Early stopping:,,\nNew best MLP model saved:; .zip; \nSaved:; \nArchive created:,,0,847,08d763333517c89a89e7631647e3df1d2d6ecdbf439a040da85bbf98e7d617fd,Physical 1-based order is canonical; execution_count is historical evidence only.
100,,code,Stage03,canonical,STAGE 3E — VALIDATION-SAFE 1D-CNN TUNING | Fitting: | 85% training subset | Early stopping:,,\nNew best CNN model saved:; .zip; \nSaved:; \nArchive created:,,0,893,3320748107820b874b09e928dd0abde62c5710530f27e189ea8d4f60bf47aad3,Physical 1-based order is canonical; execution_count is historical evidence only.
101,,code,Stage03,canonical,STAGE 3F — MERGE EXISTING TOP-FIVE TUNING OUTPUTS | No upload | No extraction | No training,,.zip; \nSaved:; \nComplete Stage 3 archive:,,0,391,db5d27fe4ec6a41ce998fb27f63e66f88fd6a5a1ad622ede7768acd513d54ac5,Physical 1-based order is canonical; execution_count is historical evidence only.
102,,code,Stage04,canonical,STAGE 4 — VALIDATION-ONLY THRESHOLD ANALYSIS | Automatically: | 1. Reads the tuned top-five comparison | 2. Identifies the validation winner,,.zip; \nSaved:; \nArchive created:,,0,686,843e637a9abe7d2cb35a128dcda553ca7b7bb3721dd19d21c9978f1d1054ac1d,Physical 1-based order is canonical; execution_count is historical evidence only.
103,,code,Stage04,canonical,SELECT OPERATIONALLY CONSTRAINED SECURITY THRESHOLD | Objective: | Maximum validation F2 | Constraint:,,\nSaved:,,0,139,daa6c4c792b435faebdc70bcf0db86882241e142c319f2024f4358c8fa309378,Physical 1-based order is canonical; execution_count is historical evidence only.
104,,code,Stage04,packaging,"import shutil from pathlib import Path stage4_dir = Path( ""/kaggle/working/"" ""ids2018_clean_validation_v2/"" ""stage04_threshold"" ) archive_base = ( ""/kaggle/working/"" ""ids2018_clean_validation_v2_stage04_threshold_final"" ) archive_file = Path(archive_base + "".zip"") if archive_file.exists(): archive_file.unlink() archive_path = shutil.make_archive( archive_base, ""zip"", stage4_dir, ) print(""Updated Stage 4 archive:"") print(archive_path)",,.zip,,0,27,1dd5ab6f7cbee1ae2043a747c0508b7249b5b783586de7d20f09ac29dc00325a,Physical 1-based order is canonical; execution_count is historical evidence only.
105,,code,Stage05,canonical,STAGE 5 — ONE-TIME UNTOUCHED TEST EVALUATION | Frozen validation decisions: | Final model: XGBoost Tuned | Standard threshold: 0.50,,Saved tuned XGBoost model not found:\n{MODEL_PATH}; .zip; \nSaved:; \nArchive created:,,0,530,6f2ac4f0236417c24b471dbc7de74d0994ef13b88d6a6e9c6aafd2f31a0839d9,Physical 1-based order is canonical; execution_count is historical evidence only.
106,,code,Stage04,canonical,STAGE 4B — ALL TOP-FIVE VALIDATION THRESHOLD ANALYSIS | Models: | XGBoost Tuned | LightGBM Tuned,,.zip; \nSaved:; \nArchive created:,,0,988,a1d05f6afd581d4682a55468ed37bd3b2cde36faf4f6da9e5b5b7fa871510087,Physical 1-based order is canonical; execution_count is historical evidence only.
107,,code,Stage05,canonical,STAGE 5B — OBJECTIVE-SPECIFIC FINAL TEST COMPARISON | Validation-selected operating points: | Balanced: | XGBoost threshold 0.51,,.zip; \nSaved:; \nArchive created:,,0,639,1396b17cfe8f46ba27115373df69a0782b9c47adaaefd739853d8aa88f3774d5,Physical 1-based order is canonical; execution_count is historical evidence only.
108,,code,Stage06,canonical,STAGE 6 — DUAL-MODEL SHAP EXPLAINABILITY | Models: | 1. XGBoost — balanced/F1-oriented model | 2. LightGBM — constrained security-oriented model,Required artifact not found:\n{path},.zip; \nSaved:; \nArchive created:,,0,1138,f4b16e5499e2775d96e00c80182f37e5c1563dd2e9469700df23acc8ab68f326,Physical 1-based order is canonical; execution_count is historical evidence only.
109,,code,Stage07,canonical,STAGE 7 — PUBLICATION-READY FIGURES AND FINAL TABLES | Generates: | 1. Sixteen-model baseline F1 comparison | 2. Tuned top-five F1 comparison,Required file not found:\n{path}; *.png,*.png; .zip; \nArchive created:,,0,1043,7ee55f431cc69bd5d4df6977b5fe9124a57b64c6ce314f2702798a7344bd89f2,Physical 1-based order is canonical; execution_count is historical evidence only.
110,,code,Stage07,canonical,"from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") zip_files = sorted( path for path in WORKING_DIR.rglob(""*.zip"") if path.is_file() ) print(f""ZIP files found: {len(zip_files)}"") for path in zip_files: print(""DELETING:"", path) path.unlink() remaining_zip_files = list( WORKING_DIR.rglob(""*.zip"") ) print(""\nRemaining ZIP files:"", len(remaining_zip_files))",,,,0,21,f829e433f553ff48e439218a837d0cfd59150b174b151238d1e54a9bbf46dd2a,Physical 1-based order is canonical; execution_count is historical evidence only.
111,,code,Stage07,canonical,"from pathlib import Path EXPERIMENT_ROOT = Path( ""/kaggle/working/ids2018_clean_validation_v2"" ) if not EXPERIMENT_ROOT.exists(): raise FileNotFoundError( f""Experiment directory missing: {EXPERIMENT_ROOT}"" ) files = [ path for path in EXPERIMENT_ROOT.rglob(""*"") if path.is_file() ] total_bytes = sum( path.stat().st_size for path in files ) print(""Experiment directory:"", EXPERIMENT_ROOT) print(""Total files:"", len(files)) print( ""Total size:"", f""{total_bytes / (1024 ** 3):.3f} GB"", ) print(""\nStage",,,,0,43,c8129dfb3e64629f9d2a3a22759a03ea9e5079fb4fa869be09dd73c1dd4a29c1,Physical 1-based order is canonical; execution_count is historical evidence only.
112,,code,Stage07,packaging,"import hashlib import json from datetime import datetime, timezone from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") inventory = [] for path in sorted(WORKING_DIR.rglob(""*"")): if not path.is_file(): continue relative_path = path.relative_to( WORKING_DIR ) file_hash = hashlib.sha256() with path.open(""rb"") as file: for chunk in iter( lambda: file.read(1024 * 1024), b"""", ): file_hash.update(chunk) inventory.append({ ""path"": str(relative_path), ""size_bytes"": path.stat().st_size, ""sha256",,/kaggle/working,,0,68,3abff17969c3708c7a557250d7bf5edb6886202e2d466ddbaef4380dd0ddce8c,Physical 1-based order is canonical; execution_count is historical evidence only.
113,,code,Stage07,packaging,"Remove an older copy, if present",,Archive creation failed:\n; .sha256; {FINAL_ARCHIVE.name}\n; \nComplete archive created:; {archive_size / (1024 ** 3):.3f} GB,,0,90,5a9c479721ae3be6a4c4387fb557cf594e55d35147b3c4cb700ca414a5b79df5,Physical 1-based order is canonical; execution_count is historical evidence only.
114,,code,Stage07,packaging,"import subprocess from pathlib import Path ARCHIVE = Path( ""/kaggle/working/"" ""ids2018_validation_safe_complete_working.tar.gz"" ) verification = subprocess.run( [ ""tar"", ""-tzf"", str(ARCHIVE), ], check=False, capture_output=True, text=True, ) if verification.returncode != 0: raise RuntimeError( ""Archive verification failed:\n"" + verification.stderr ) archived_entries = [ line for line in verification.stdout.splitlines() if line.strip() ] print(""Archive verified successfully."") print(""Archived ent",,Archive verification failed:\n,,0,38,e2b592f9bda0705a22fbf24d0abfff49ff9874192665525ddfe91ac59df4ead5,Physical 1-based order is canonical; execution_count is historical evidence only.
115,,code,Stage07,canonical,"from pathlib import Path ROOT = Path(""/kaggle/working/ids2018_clean_validation_v2"") required_files = [ ROOT / ""stage05_final_test/predictions/xgboost_final_test_probabilities.csv"", ROOT / ""stage05_final_test_comparison/predictions/lightgbm_final_test_probabilities.csv"", ROOT / ""stage04_threshold/all_models/results/all_top5_selected_validation_operating_points.csv"", ] for path in required_files: print(""FOUND"" if path.exists() else ""MISSING"", path) assert all(path.exists() for path in required_fil",,,models/results/all_top5_selected_validation_operating_points.csv,0,14,22a00386e77a09b9755ee71e25b2e83448d60678610f6584fe60020f6592dd12,Physical 1-based order is canonical; execution_count is historical evidence only.
116,,code,Stage08,canonical,STAGE 8 — PAIRED STRATIFIED BOOTSTRAP CONFIDENCE ANALYSIS | No training | No hyperparameter tuning | No threshold selection,Required file not found:\n{path},.zip; \nArchive:,,0,2049,4fe8f07df2411d45d543b0d84ac0f37b6aa57cdd7056a32dc1abdadfa738d137,Physical 1-based order is canonical; execution_count is historical evidence only.
117,,code,Stage08,canonical,"from pathlib import Path ROOT = Path(""/kaggle/working/ids2018_clean_validation_v2"") required_files = [ ROOT / ""stage05_final_test/predictions/xgboost_final_test_probabilities.csv"", ROOT / ""stage05_final_test_comparison/predictions/lightgbm_final_test_probabilities.csv"", ROOT / ""stage04_threshold/all_models/results/all_top5_selected_validation_operating_points.csv"", ] for path in required_files: print(""FOUND"" if path.exists() else ""MISSING"", path) assert all(path.exists() for path in required_fil",,,models/results/all_top5_selected_validation_operating_points.csv,0,14,22a00386e77a09b9755ee71e25b2e83448d60678610f6584fe60020f6592dd12,Physical 1-based order is canonical; execution_count is historical evidence only.
118,,code,Stage09,canonical,STAGE 9 — HOLDOUT CALIBRATION ASSESSMENT | Models: | XGBoost Tuned | LightGBM Tuned,Required file not found:\n{path}; \nInput validation passed,.zip; \nArchive:,,0,2390,8a22a84e7551a1dc0125b535c9fddd53a86921d1d85fd39db84b3af35d7ee1ab,Physical 1-based order is canonical; execution_count is historical evidence only.
119,,code,Stage10,canonical,STAGE 10 — OPERATIONAL COST AND ALERT-BURDEN ANALYSIS | Models: | XGBoost Tuned | LightGBM Tuned,Required file not found:\n{path},.zip; \nArchive:,,0,1744,c4778f433b95080c23a7b70654293790ad93aafdeeaba287efe0123a430ef9c8,Physical 1-based order is canonical; execution_count is historical evidence only.
120,,code,Stage11,canonical,STAGE 11 — ATTACK-CATEGORY ANALYSIS | Operating points: | XGBoost balanced: 0.51 | XGBoost security: 0.27,Required file not found:\n{path}; /kaggle/input/**/merged_balanced_ids2018_safe.csv; /kaggle/input/**/*ids2018*.csv; /kaggle/input/**/*balanced*.csv; \nCandidate processed datasets:; \nSelected processed dataset:,.zip; \nArchive:,,0,2486,a093ed4d51d06512856f27c9b9aa5637c147b654a8dc9378bfa134b1a4ba7848,Physical 1-based order is canonical; execution_count is historical evidence only.
121,,code,Stage12,repair,PATCH STAGE 12 MODEL CONSTRUCTORS | Prevent duplicate keyword arguments from saved parameters,,,,0,61,aeb4b6bf0f1c2e53c0fd9bff46468296be85eb399256ce08565df7ec92fbf6ee,Physical 1-based order is canonical; execution_count is historical evidence only.
122,,code,Stage12,canonical,STAGE 12 — MULTI-SEED ROBUSTNESS OF FINAL TREE MODELS | Models: | XGBoost Tuned | LightGBM Tuned,/kaggle/input/datasets/; ids2018-balanced-binary-dataset/; Required artifact not found:\n{path}; \nLoading processed dataset...,.zip; \nArchive:,,0,1908,5c037a28f1156c2df74e9ef4e5a9f6abfd54622e49d980263e22233d991fb88a,Physical 1-based order is canonical; execution_count is historical evidence only.
123,,code,Stage12,canonical,"from pathlib import Path ROOT = Path(""/kaggle/working/ids2018_clean_validation_v2"") expected_stages = [ ""stage01_data"", ""stage02_baselines"", ""stage03_top5_tuning"", ""stage04_threshold"", ""stage05_final_test"", ""stage05_final_test_comparison"", ""stage06_dual_shap"", ""stage07_publication_assets"", ""stage08_bootstrap_confidence"", ""stage09_calibration_assessment"", ""stage10_operational_cost"", ""stage11_attack_category"", ""stage12_multiseed_robustness"", ] missing = [] for stage in expected_stages: path = ROOT",,,,0,36,2ad24275e8f7f1d7bc32d25bfa1bea9c7e76bbaf5398a4305a3c36f80e9741e1,Physical 1-based order is canonical; execution_count is historical evidence only.
124,,code,Stage12,canonical,"from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") zip_files = sorted( path for path in WORKING_DIR.rglob(""*.zip"") if path.is_file() ) print(f""ZIP files found: {len(zip_files)}"") for path in zip_files: print(""DELETING:"", path) path.unlink() remaining_zips = list( WORKING_DIR.rglob(""*.zip"") ) print(""\nRemaining ZIP files:"", len(remaining_zips))",,,,0,21,463df51c9eff94200be306104f7a09e6a2b9577d946d0353a42be0dfb6574670,Physical 1-based order is canonical; execution_count is historical evidence only.
125,,code,Stage12,canonical,"from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") old_complete_files = [ WORKING_DIR / ""ids2018_validation_safe_complete_working.tar.gz"", WORKING_DIR / ""ids2018_validation_safe_complete_working.tar.gz.sha256"", WORKING_DIR / ""complete_working_manifest.json"", ] for path in old_complete_files: if path.exists(): print(""DELETING OLD:"", path) path.unlink() else: print(""NOT PRESENT:"", path)",,,,0,16,2b8c2d7ace4ae801eda9a0f1fe68938bf0d670d9324aa71e5ea60853cdc889db,Physical 1-based order is canonical; execution_count is historical evidence only.
126,,code,Stage12,canonical,"from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") EXPERIMENT_ROOT = ( WORKING_DIR / ""ids2018_clean_validation_v2"" ) files = [ path for path in EXPERIMENT_ROOT.rglob(""*"") if path.is_file() ] total_size = sum( path.stat().st_size for path in files ) print(""Experiment root:"", EXPERIMENT_ROOT) print(""Total files:"", len(files)) print( ""Total size:"", f""{total_size / (1024 ** 3):.3f} GB"", ) print(""\nStage inventory:"") for stage in sorted(EXPERIMENT_ROOT.iterdir()): if not stage.is_dir(): c",,,,0,48,e098edadbcec9e8cbb09d30e7df35092295cb0fb3e4913f94c6503d67ba9ab17,Physical 1-based order is canonical; execution_count is historical evidence only.
127,,code,Stage12,canonical,"import hashlib import json from datetime import datetime, timezone from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") excluded_names = { ""ids2018_validation_safe_complete_working_final.tar.gz"", ""ids2018_validation_safe_complete_working_final.tar.gz.sha256"", ""complete_working_manifest_final.json"", } inventory = [] for path in sorted(WORKING_DIR.rglob(""*"")): if not path.is_file(): continue if path.name in excluded_names: continue sha256 = hashlib.sha256() with path.open(""rb"") as handle",,/kaggle/working,,0,78,8ba35abcf9d235b7d8cd95b5d57cd34ea050aec44a09afdf04bcff9392f71859,Physical 1-based order is canonical; execution_count is historical evidence only.
128,,code,Stage12,packaging,"import hashlib import shutil import subprocess from pathlib import Path WORKING_DIR = Path(""/kaggle/working"") TEMP_ARCHIVE = Path( ""/tmp/"" ""ids2018_validation_safe_complete_working_final.tar.gz"" ) FINAL_ARCHIVE = ( WORKING_DIR / ""ids2018_validation_safe_complete_working_final.tar.gz"" ) CHECKSUM_PATH = Path( str(FINAL_ARCHIVE) + "".sha256"" ) for path in [ TEMP_ARCHIVE, FINAL_ARCHIVE, CHECKSUM_PATH, ]: if path.exists(): path.unlink() print(""Creating final archive..."") print(""Source:"", WORKING_DIR) ",,.sha256; Archive creation failed:\n; {FINAL_ARCHIVE.name}\n; \nFinal archive created:; {FINAL_ARCHIVE.stat().st_size / (1024 ** 3):.3f} GB,,0,85,faecc7e5009a7b4ba1098b2be4ccf20f126ef0f0f93d7e42bf4bf23240e7fb31,Physical 1-based order is canonical; execution_count is historical evidence only.
129,,code,Stage12,packaging,"import subprocess from pathlib import Path ARCHIVE = Path( ""/kaggle/working/"" ""ids2018_validation_safe_complete_working_final.tar.gz"" ) verification = subprocess.run( [ ""tar"", ""-tzf"", str(ARCHIVE), ], capture_output=True, text=True, ) if verification.returncode != 0: raise RuntimeError( ""Archive verification failed:\n"" + verification.stderr ) entries = [ line for line in verification.stdout.splitlines() if line.strip() ] required_archive_paths = [ ""./ids2018_clean_validation_v2/stage08_bootstrap",\nRequired final stages:,Archive verification failed:\n; \nFinal archive verification passed.,,0,60,da03fe82c63370ac9c980970f422d61226aca07a1b5589b81d8fbc40c89002f9,Physical 1-based order is canonical; execution_count is historical evidence only.
130,,code,Stage13,canonical,"Prefer the shortest matching path, which is usually the canonical artifact.",/kaggle/input; merged_balanced_ids2018_safe.csv,/kaggle/working/stage13_artifact_discovery.json; \nSaved artifact discovery:,,0,124,4921969a8ed74005c7cb9bb805f13bee1b070df7abf786a745dcbe9380522cb5,Physical 1-based order is canonical; execution_count is historical evidence only.
131,,code,Stage13,canonical,STAGE 13.2 — RECONSTRUCT AND VERIFY THE EXACT HOLDOUT SET,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired files:; \nLoading processed IDS2018 dataset...; \nLoading XGBoost model...; \nLoading LightGBM model...,\nArchived XGBoost probability columns:; \nArchived LightGBM probability columns:; \n{model_name} archived probability column:; split_indices_reconstructed.npz; standard_scaler_reconstructed.joblib; feature_names.json; split_metadata_reconstructed.json; holdout_manifest.csv; published_metric_reproduction.csv; stage13_2_verification_summary.json,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt; results/holdout/xgboost_final_test_probabilities.csv; results/holdout/lightgbm_final_test_probabilities.csv,0,898,5f4613370ab70c73b96fd194099a08cf9fdddf4c9aae86b7df446649e5b53708,Physical 1-based order is canonical; execution_count is historical evidence only.
132,,code,Stage13,canonical,STAGE 13.2B — VERIFY TREE MODELS USING RAW TABULAR FEATURES,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nLoading dataset...; \nLoaded model feature counts:,split_indices_reconstructed.npz; feature_names.json; holdout_manifest.csv; \nCorrected files saved:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt; results/holdout/xgboost_final_test_probabilities.csv; results/holdout/lightgbm_final_test_probabilities.csv,0,609,ffc91862e3abf0d010696a16c4a4537a7f19b535cd91c69dac42aea074cd7231,Physical 1-based order is canonical; execution_count is historical evidence only.
133,,code,Stage13,canonical,STAGE 13.3B — FIX FINAL DISAGREEMENT DISPLAY,,/kaggle/working/stage13_lime; lime_model_specific_cases.csv; lime_shared_cases.csv; lime_disagreement_cases.csv,,0,209,b6cf26450a8d56a3d866c88a2de0cb16a6f772256de0a691820c5be35403c140,Physical 1-based order is canonical; execution_count is historical evidence only.
134,,code,Stage13,canonical,"STAGE 13.4 — LIME ENVIRONMENT, BACKGROUND AND MODEL WRAPPERS",/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:; \nLoaded split information:; \nLoading dataset columns required for LIME...; \nLoading published models...,split_indices_reconstructed.npz; feature_names.json; holdout_manifest.csv; lime_shared_cases.csv; lime_background_manifest.csv; lime_background_data.npz; \nSaved artifacts:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt,0,882,f295349089f344b53dc8cccdec5c95b3f364f229146bec737c3172f9d5c7354c,Physical 1-based order is canonical; execution_count is historical evidence only.
135,,code,Stage13,canonical,STAGE 13.5 — PAIRED LIME EXPLANATIONS FOR DISAGREEMENT CASES,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/,feature_names.json; lime_background_data.npz; lime_disagreement_cases.csv; explanations/disagreement_cases; html/disagreement_cases; figures/disagreement_cases; tables/disagreement_cases; \nSaved consolidated artifacts:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt; figures/disagreement_cases; tables/disagreement_cases,0,1505,c8d03babce0fe8c2579fc14c41ecc0806a2c79f283ed4dd72bfb286d21bfbd20,Physical 1-based order is canonical; execution_count is historical evidence only.
136,,code,Stage13,canonical,STAGE 13.6A — LIME FIDELITY CONFIGURATION SENSITIVITY,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/,feature_names.json; lime_background_data.npz; lime_disagreement_cases.csv; \nSaved artifacts:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt,0,1182,42658c7d3d6a14e621138b0a369a4c667372e8f3dcc81fe5e4bf1419acd59e92,Physical 1-based order is canonical; execution_count is historical evidence only.
137,,code,Stage13,canonical,STAGE 13.6B — LIME STABILITY ACROSS PERTURBATION SEEDS,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/,feature_names.json; lime_background_data.npz; lime_disagreement_cases.csv; \nSaved artifacts:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt,0,1894,020fa98abae260107105bd16b6102912a09cc6589e1b1e5271aef77a2f02150a,Physical 1-based order is canonical; execution_count is historical evidence only.
138,,code,Stage13,canonical,STAGE 13.7A — LOCAL SHAP–LIME CROSS-METHOD AGREEMENT,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/; \nRequired artifacts:; \nLoaded artifacts:,feature_names.json; lime_disagreement_cases.csv; lime_seed_stability_terms.csv; lime_seed_stability_case_summary.csv; local_shap_disagreement_values.npz; local_shap_disagreement_terms.csv; local_shap_lime_agreement.csv; local_shap_lime_model_summary.csv; local_shap_lime_case_summary.csv; lime_shap_reliability_synthesis.csv; stage13_7a_shap_lime_metadata.json; \nDirect output ranges:; ... (+1 more),models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt,0,1696,ed9a7f454348bc2e055964c301d3d7a9c8b606b9c0ec857fcef2b6ea6c78bc22,Physical 1-based order is canonical; execution_count is historical evidence only.
139,,code,Stage13,canonical,STAGE 13.7B — FULL OUTCOME-STRATIFIED SHAP–LIME PANEL,/kaggle/input/datasets/jmmubasshirrahman/; ids2018-balanced-binary-dataset/,feature_names.json; lime_background_data.npz; lime_model_specific_cases.csv; \nSaved artifacts:,models/xgboost/xgboost_tuned.json; models/lightgbm/lightgbm_tuned.txt,0,1778,6199b710e7efce56ef6f820c0ebc12f51338ccdb45726b2f5fc6fd76812e7752,Physical 1-based order is canonical; execution_count is historical evidence only.
140,,code,Stage13,packaging,STAGE 13.8A — PUBLICATION ASSETS AND FORMAL LIME SYNTHESIS,\nRequired Stage 13 artifacts:; \nLoaded result counts:,,,0,1467,117a599b720daf46a86f580e5e7ebc9e3002570c7157f9daca81df7b4c654646,Physical 1-based order is canonical; execution_count is historical evidence only.
141,,code,Stage13,canonical,STAGE 13.9A — PACKAGE STAGE 13 ARTIFACTS INTO THE REPOSITORY,\nSource:,README.md,results/lime; tables/lime; figures/lime; metadata/lime; tables/lime/`.; figures/lime/`.; metadata/lime/`.; docs/EXPERIMENT_PROTOCOL.md; docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md`; docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md; tables/lime/`; figures/lime/`; ... (+7 more),0,995,6b2998de9c3dcfe25bc0e3ab35176bebc321c8ed5190ed8909cb0c9184106bb6,Physical 1-based order is canonical; execution_count is historical evidence only.
142,,code,Stage13,canonical,STAGE 13.9B — STAGE AND VALIDATE THE REPOSITORY PACKAGE,,,metadata/lime/stage13_repository_package_manifest.json; docs/EXPERIMENT_PROTOCOL.md; docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md; docs/STAGE13_MANUSCRIPT_PARAGRAPH.txt; figures/lime/; metadata/lime/; results/lime/; tables/lime/; figures/lime; metadata/lime; results/lime; tables/lime; ... (+2 more),0,800,f0566a64a6d0c9caf684d1f357d4faa35f67ed8bc67557e86f9db350c3d8f29d,Physical 1-based order is canonical; execution_count is historical evidence only.
143,,code,Stage13,canonical,"from pathlib import Path import subprocess REPO_DIR = Path( ""/kaggle/working/ids2018-validation-safe-ablation"" ) commands = [ [ ""git"", ""-C"", str(REPO_DIR), ""config"", ""user.name"", ""J. M. Mubasshir Rahman"", ], [ ""git"", ""-C"", str(REPO_DIR), ""config"", ""user.email"", ""iammubasshir@gmail.com"", ], ] for command in commands: subprocess.run( command, check=True, ) name = subprocess.run( [ ""git"", ""-C"", str(REPO_DIR), ""config"", ""--get"", ""user.name"", ], capture_output=True, text=True, check=True, ).stdout.st",,,,0,78,01e41ed32aa882800085529b8893a2f301b5daf35c2d3bddda65cafc3bee0cb1,Physical 1-based order is canonical; execution_count is historical evidence only.
144,,code,Stage13,packaging,STAGE 13.9C — COMMIT AND PUSH STAGE 13,,,docs/EXPERIMENT_PROTOCOL.md; docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md; docs/STAGE13_MANUSCRIPT_PARAGRAPH.txt; figures/lime/; metadata/lime/; results/lime/; tables/lime/; results/lime/lime_full_panel_summary.csv; metadata/lime/stage13_repository_package_manifest.json,0,707,e0e132fce2d8b8b8758a1ad055ea9c31998b20a8f6274db70c3db8dc7cb0a1de,Physical 1-based order is canonical; execution_count is historical evidence only.
